post_title,post_body,post_author,post_id,comment_num,karma,link,post_date
"A baby was just born with coronavirus immunity. The baby’s mother survived a mild case of COVID-19 in March, while she was 10-weeks pregnant. The mother’s SARS-CoV-2 antibodies disappeared, but doctors discovered that the boy was born with circulating antibodies",,poleco1,k3zz0x,819,37669,https://bgr.com/2020/11/30/coronavirus-immunity-newborn-antibodies-from-mother/,2020-11-30 19:07:56
UK approves Pfizer-BioNTech COVID-19 vaccine in world first,,joesoldlegs,k5emw2,2,0,https://www.reuters.com/article/us-health-coronavirus-britain-vaccine/uk-approves-pfizer-biontech-covid-19-vaccine-in-world-first-idUSKBN28C0OW,2020-12-02 20:08:11
UK authorises Pfizer-BioNTech COVID-19 vaccine,,TheHartman88,k54jn4,0,8,https://www.gov.uk/government/news/uk-authorises-pfizer-biontech-covid-19-vaccine,2020-12-02 09:10:20
"COVID-19 reinfection cases spark panic in Delhi, debate over longevity of antibody",,TurtleFacts72,k4xz8e,1,11,https://www.newindianexpress.com/cities/delhi/2020/dec/01/covid-19-reinfection-cases-spark-panic-in-delhi-debate-over-longevity-of-antibody-2230319.html,2020-12-02 02:25:57
Leaked Coronavirus Files From China Reveal 'Mistakes' And Mishandling Of COVID-19: Report,,akosipops,k4wse4,5,12,https://www.ibtimes.com/leaked-coronavirus-files-china-reveal-mistakes-mishandling-covid-19-report-3091842,2020-12-02 01:20:11
"UK bars, cinemas may require proof of COVID-19 vaccination to visit",,ChiGuy6124,k47m4b,237,526,https://thehill.com/policy/international/528040-uk-may-require-proof-of-covid-19-vaccination-to-visit-bars-cinemas,2020-12-01 01:01:03
Overseas pundits have compared New Zealand’s COVID isolation facilities to Nazi Germany. Now a Kiwi artist is capturing the stories of workers and guests in managed isolation to highlight the invaluable contribution they've made to NZ's success keeping COVID out of the community.,,FutureHustle,k4pgaa,8,16,https://www.stuff.co.nz/travel/destinations/nz/auckland/123563809/covid19-thanks-from-iso-exhibition-turns-miq-residents-thank-yous-into-art,2020-12-01 19:26:35
Thailand hikes price of 5-year visa as foreigners seek COVID haven,,vinacham,k4im8r,3,41,https://asia.nikkei.com/Economy/Thailand-hikes-price-of-5-year-visa-as-foreigners-seek-COVID-haven,2020-12-01 12:44:19
Turkish labor leaders criticize state COVID-19 response as cases surge,,corrosivematerial,k4swh8,1,6,https://www.al-monitor.com/pulse/originals/2020/12/turkey-labor-rights-leaders-criticize-covid19-response-cases.html,2020-12-01 22:07:26
England's COVID-19 infections down 30% during national lockdown: survey,,Pessimist2020,k3ldo4,2369,43884,https://www.reuters.com/article/us-health-coronavirus-britain-study-idUSKBN28A00H,2020-11-30 02:55:18
China gave COVID-19 vaccine candidate to N.Korea's Kim - U.S. analyst,,johnbradleypeele,k4i4bv,1,19,https://www.reuters.com/article/us-health-coronavirus-northkorea-china/china-gave-covid-19-vaccine-candidate-to-north-koreas-kim-u-s-analyst-idUSKBN28B3C9,2020-12-01 12:01:57
COVID-19 Patients Continue to Struggle After Hospital Discharge,,,k4dsle,6,38,https://www.pharmacytimes.com/news/covid-19-patients-continue-to-struggle-after-hospital-discharge,2020-12-01 06:39:30
"Yahya Sinwar, head of Hamas in Gaza, tests positive for COVID-19",,BigTasty789,k4m3uj,1,3,https://www.timesofisrael.com/hamas-gaza-chief-yahya-sinwar-tests-positive-for-covid-19/,2020-12-01 16:42:34
