post_title,post_body,comment_num,karma,link,post_date
"Study finds users, not notifications, initiate 89% of smartphone interactions",,3,8,https://www.psychnewsdaily.com/study-finds-users-not-notifications-initiate-89-of-smartphone-interactions/,2020-11-24 21:13:14
Elon Musk has overtaken Bill Gates to become the world’s second richest person,,45,32,https://www.cnbc.com/2020/11/24/elon-musk-overtakes-bill-gates-to-become-worlds-second-richest.html,2020-11-24 14:23:49
Percepto raises $45 million for robots that inspect critical infrastructure,,2,7,https://venturebeat.com/2020/11/24/percepto-raises-45-million-for-robots-that-inspect-critical-infrastructure/,2020-11-24 20:53:25
How Venture Capitalists Are Deforming Capitalism: Benchmark helped enable WeWork to make one wild mistake after another—hoping that its gamble would pay off before disaster struck.,,2,14,https://www.newyorker.com/magazine/2020/11/30/how-venture-capitalists-are-deforming-capitalism,2020-11-24 17:46:27
Vivaldi Browser launches Vivaldi Email client in Technical Preview,,0,7,https://vivaldi.com/blog/vivaldi-mail-technical-preview,2020-11-24 22:57:10
Laser fusion reactor approaches ‘burning plasma’ milestone,,28,274,https://www.sciencemag.org/news/2020/11/laser-fusion-reactor-approaches-burning-plasma-milestone,2020-11-24 00:47:27
"GitHub agrees RIAA claim is bunk, restores popular YouTube download tool",,67,822,https://arstechnica.com/tech-policy/2020/11/github-agrees-riaa-claim-is-bunk-restores-popular-youtube-download-tool/?utm_brand=ars,2020-11-23 18:38:35
MP Man Files Police Complaint Against Twitter India's MD Over Suspension Of True Indology’s Account,,0,18,https://swarajyamag.com/insta/mp-man-files-police-complaint-against-twitter-indias-md-over-suspension-of-trueindologys-account,2020-11-24 15:19:44
"Nature journals reveal terms of landmark open-access option - The journals will charge authors up to €9,500 to make research papers free to read, in a long-awaited alternative to subscription-only publishing.",,3,10,https://www.nature.com/articles/d41586-020-03324-y,2020-11-24 17:46:07
Francis Fukuyama suggests 'middleware' companies may be able to save democracy from Big Tech,,6,9,https://www.foreignaffairs.com/articles/united-states/2020-11-24/fukuyama-how-save-democracy-technology,2020-11-24 17:43:30
"WhiteHat Jr Bug Exposed Data of 2.8 Lakh Students, Mostly Minors",,1,11,https://www.thequint.com/amp/story/cyber/whitehatjr-bug-exposed-personal-data-of-28-lakh-students-karan-bajaj?__twitter_impression=true,2020-11-24 17:26:12
